,,,,,,,,,,,,,,,,
,Filename,,,,,,,Revision,Author,,Comments,,,,,
,Frame Estimation Tool - SF00000000 - 20151110 201321.xlsm,,,,,,,0.98,Morgan Wegener,,Final Dev Version,,,,,
,Frame Estimation Tool - SF00000000 - 20151124 101051.xlsm,,,,,,,"=IF(B4="","",I3+0.01)",Morgan Wegener,,Final Release,,,,,
,Frame Estimation Tool - SF00000000 - 20160406 123415.xlsm,,,,,,,"=IF(B5="","",I4+0.01)",Mark Howell,,Official Release of Version 1.00,,,,,
,Frame Estimation Tool - SF20000000 - 20160531 171552.xlsm,,,,,,,"=IF(B6="","",I5+1)",Mark Howell,,"Corrections to Rates, Frame Services, Frame Summary, Equipment & Client Summary",,,,,
,Frame Estimation Tool - SF30000000 - 20160616 120000.xlsm,,,,,,,"=IF(B7="","",I6+1)",Mark Howell,,Additional code and bug corrections,,,,,
,Frame Estimation Tool - SF40000000 - 20160719 104308.xlsm,,,,,,,"=IF(B8="","",I7+1)",Mark Howell,,Bug fixes and enhancements,,,,,
,Frame Estimation Tool V5.xlsm,,,,,,,"=IF(B9="","",I8+1)",Mark Howell,,Bug fixes and enhancements,,,,,
,Frame Estimation Tool - MD50000000 - 20170228 163758.xlsm,,,,,,,"=IF(B10="","",I9+0.01)",Mark Howell,,Updated for MD number and Scope heading format,,,,,
,Frame Estimation Tool - MD50200000 - 20170314 131612.xlsm,,,,,,,"=IF(B11="","",I10+0.01)",Mark Howell,,Frame logo to Quote,,,,,
,,,,,,,,"=IF(B12="","",I11+0.01)",,,,,,,,
,,,,,,,,"=IF(B13="","",#REF!+0.01)",,,,,,,,
,,,,,,,,"=IF(B14="","",I13+0.01)",,,,,,,,
,,,,,,,,"=IF(B15="","",I14+0.01)",,,,,,,,
,,,,,,,,"=IF(B16="","",I15+0.01)",,,,,,,,
,,,,,,,,"=IF(B17="","",I16+0.01)",,,,,,,,
,,,,,,,,"=IF(B18="","",#REF!+0.01)",,,,,,,,
,,,,,,,,"=IF(B19="","",I18+0.01)",,,,,,,,
,,,,,,,,"=IF(B20="","",I19+0.01)",,,,,,,,
,,,,,,,,"=IF(B21="","",I20+0.01)",,,,,,,,
,,,,,,,,"=IF(B22="","",I21+0.01)",,,,,,,,
,,,,,,,,"=IF(B23="","",#REF!+0.01)",,,,,,,,
,,,,,,,,"=IF(B24="","",I23+0.01)",,,,,,,,
,,,,,,,,"=IF(B25="","",I24+0.01)",,,,,,,,
,,,,,,,,"=IF(B26="","",I25+0.01)",,,,,,,,
,,,,,,,,"=IF(B27="","",I26+0.01)",,,,,,,,
,,,,,,,,"=IF(B28="","",#REF!+0.01)",,,,,,,,
,,,,,,,,"=IF(B29="","",I28+0.01)",,,,,,,,
,,,,,,,,"=IF(B30="","",I29+0.01)",,,,,,,,
,,,,,,,,"=IF(B31="","",I30+0.01)",,,,,,,,
,,,,,,,,"=IF(B32="","",I31+0.01)",,,,,,,,
,,,,,,,,"=IF(B33="","",#REF!+0.01)",,,,,,,,
,,,,,,,,"=IF(B34="","",I33+0.01)",,,,,,,,
,,,,,,,,"=IF(B35="","",I34+0.01)",,,,,,,,
,,,,,,,,"=IF(B36="","",I35+0.01)",,,,,,,,
,,,,,,,,"=IF(B37="","",I36+0.01)",,,,,,,,
,,,,,,,,"=IF(B38="","",#REF!+0.01)",,,,,,,,
,,,,,,,,"=IF(B39="","",I38+0.01)",,,,,,,,
,,,,,,,,"=IF(B40="","",I39+0.01)",,,,,,,,
,,,,,,,,"=IF(B41="","",I40+0.01)",,,,,,,,
,,,,,,,,"=IF(B42="","",I41+0.01)",,,,,,,,
,,,,,,,,"=IF(B43="","",I2+0.01)",,,,,,,,
,,,,,,,,"=IF(B44="","",I43+0.01)",,,,,,,,
,,,,,,,,"=IF(B45="","",I44+0.01)",,,,,,,,
,,,,,,,,"=IF(B46="","",I45+0.01)",,,,,,,,
,,,,,,,,"=IF(B47="","",I46+0.01)",,,,,,,,
,,,,,,,,"=IF(B48="","",I7+0.01)",,,,,,,,
,,,,,,,,"=IF(B49="","",I48+0.01)",,,,,,,,
,,,,,,,,"=IF(B50="","",I49+0.01)",,,,,,,,
,,,,,,,,"=IF(B51="","",I50+0.01)",,,,,,,,
,,,,,,,,"=IF(B52="","",I51+0.01)",,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
